"Code Commune";"Commune";"Code QPV";"Nom QPV";"Département";"Région";"Statut géo";"Code";"Fédération";"Clubs_actifs";"EPA_actifs";"Total_actifs";"Clubs";"EPA";"Total"
"01001";"L'Abergement-Clémenciat";"CSZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"124";"FF de Tennis de Table";"1";"0";"1";"1";"0";"1"
"01001";"L'Abergement-Clémenciat";"CSZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"211";"FF du Sport Boules";"1";"0";"1";"1";"0";"1"
"01002";"L'Abergement-de-Varey";"CSZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"211";"FF du Sport Boules";"1";"0";"1";"1";"0";"1"
"01002";"L'Abergement-de-Varey";"CSZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"245";"FF de la Randonnée Pédestre";"1";"0";"1";"1";"0";"1"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"101";"FF d'Athlétisme";"2";"0";"2";"2";"0";"2"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"103";"FF de Badminton";"1";"0";"1";"1";"0";"1"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"105";"FF de Basketball";"1";"0";"1";"1";"0";"1"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"109";"FF d'Équitation";"1";"1";"2";"1";"1";"2"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"111";"FF de Football";"1";"0";"1";"1";"0";"1"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"113";"FF de Gymnastique";"1";"0";"1";"1";"0";"1"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"117";"FF de Judo, Jujitsu, Kendo et DA";"1";"0";"1";"1";"0";"1"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"123";"FF de Tennis";"1";"0";"1";"1";"0";"1"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"124";"FF de Tennis de Table";"1";"0";"1";"1";"0";"1"
"01004";"Ambérieu-en-Bugey";"HZ";"";"01";"Auvergne-Rhône-Alpes";"1.Champ geoc";"125";"FF de Tir";"1";"0";"1";"1";"0";"1"
